brand,column_type,batch_id,test_id,plate_count_N,tailing_factor,resolution_Rs,back_pressure_bar,analyst,instrument,oos_reason,status
ACE,C18,ACE-C18-B01,T01,11561,1.062,4.42,185.1,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B01,T02,11198,1.096,4.3,195.9,Analyst_A,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B01,T03,12346,1.158,4.89,184.1,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B01,T04,12806,1.15,4.42,176.4,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B01,T05,12035,1.136,4.88,201.5,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B01,T06,11737,1.243,4.97,180.4,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B01,T07,11734,1.183,4.32,178.4,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B01,T08,12268,1.129,4.4,184.2,Analyst_A,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B01,T09,11871,0.93,3.99,197.6,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B02,T01,11013,1.096,4.88,180.9,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B02,T02,11019,1.065,5.45,175.9,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B02,T03,11272,1.205,4.91,160.7,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B02,T04,10942,1.101,4.61,181.7,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B02,T05,11161,0.961,5.14,168.9,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B03,T01,10591,1.403,4.38,211.6,Analyst_A,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B03,T02,10949,1.306,4.52,215.1,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B03,T03,10610,1.436,5.06,194.7,Analyst_A,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B03,T04,10379,1.233,4.7,179.8,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B03,T05,11323,1.354,4.8,195.6,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B04,T01,9404,1.23,4.44,167.7,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B04,T02,9390,1.282,4.12,172.4,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B04,T03,9088,1.372,3.66,172.1,Analyst_A,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B04,T04,9135,1.18,4.36,177.6,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B04,T05,9878,1.425,4.51,196.3,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B04,T06,9049,1.145,4.13,168.1,Analyst_A,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B04,T07,8777,1.27,3.76,167.2,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B04,T08,9478,1.237,4.84,150.5,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B04,T09,9757,1.267,4.19,168.4,Analyst_A,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B04,T10,9569,1.362,4.18,179.8,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B04,T11,9443,1.295,4.03,182.0,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B05,T01,12492,1.031,4.78,181.6,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B05,T02,12952,1.005,4.97,172.6,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B05,T03,12942,1.061,4.83,182.2,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B05,T04,13598,1.181,4.49,171.6,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B05,T05,13173,1.127,4.79,157.8,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B05,T06,12927,1.179,4.53,159.2,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B05,T07,12686,1.221,4.6,192.7,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B05,T08,12878,1.112,4.14,155.0,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B05,T09,13306,0.919,4.94,167.8,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B06,T01,10236,0.998,4.05,176.3,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B06,T02,10030,1.015,4.0,216.4,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B06,T03,10592,1.135,3.95,176.8,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B06,T04,9685,1.097,4.33,200.2,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B06,T05,10269,1.012,4.25,195.3,Analyst_C,HPLC_01,PASS,PASS
